Home Team,Away Team,Group
Germany,Scotland,Group A
Hungary,Switzerland,Group A
Spain,Croatia,Group B
Italy,Albania,Group B
Poland,Netherlands,Group D
Slovenia,Denmark,Group C
Serbia,England,Group C
Romania,Ukraine,Group E
Belgium,Slovakia,Group E
Austria,France,Group D
Türkiye,Georgia,Group F
Portugal,Czechia,Group F
Croatia,Albania,Group B
Germany,Hungary,Group A
Scotland,Switzerland,Group A
Slovenia,Serbia,Group C
Denmark,England,Group C
Spain,Italy,Group B
Slovakia,Ukraine,Group E
Poland,Austria,Group D
Netherlands,France,Group D
Georgia,Czechia,Group F
Türkiye,Portugal,Group F
Belgium,Romania,Group E
Switzerland,Germany,Group A
Scotland,Hungary,Group A
Albania,Spain,Group B
Croatia,Italy,Group B
Netherlands,Austria,Group D
France,Poland,Group D
England,Slovenia,Group C
Denmark,Serbia,Group C
Slovakia,Romania,Group E
Ukraine,Belgium,Group E
Georgia,Portugal,Group F
Czechia,Türkiye,Group F
